City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tezu,IN,75.7,overcast clouds,27.9167,96.1667,Circuit House
2,Cidreira,BR,60.44,scattered clouds,-30.1811,-50.2056,Hotel Castelo
4,Rikitea,PF,72.14,light rain,-23.1203,-134.9692,People ThankYou
5,Goderich,CA,70.92,clear sky,43.7501,-81.7165,Harmony Inn
6,Cap Malheureux,MU,66.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
10,Norman Wells,CA,75.24,broken clouds,65.282,-126.8329,Heritage Hotel
11,Korla,CN,73.9,clear sky,41.7597,86.1469,Gulisitan Hotel
12,Dicabisagan,PH,76.78,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
13,Faanui,PF,78.48,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
15,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
19,Kamenicky Senov,CZ,66.18,overcast clouds,50.7736,14.4729,Vila Heide
21,Ribeira Grande,PT,75.58,few clouds,38.5167,-28.7,Quinta da Meia Eira
23,Hilo,US,82.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Pak Chong,TH,78.82,overcast clouds,14.708,101.4161,PakChong Phubade Hotel
27,Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
30,Culebra,PR,87.89,clear sky,18.303,-65.301,Palmetto Guesthouse
31,Albany,US,88.57,few clouds,42.6001,-73.9662,
34,Oussouye,SN,82.49,overcast clouds,12.485,-16.5469,Auberge du Routard
35,Newtownards,GB,66.15,overcast clouds,54.5924,-5.6909,Strangford Arms Hotel
39,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
40,Castro,BR,64.9,clear sky,-24.7911,-50.0119,CHACARA BAILLY
41,Yellowknife,CA,68.52,few clouds,62.456,-114.3525,The Explorer Hotel
42,Nouakchott,MR,80.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN
43,Westerland,DE,66.22,broken clouds,54.9079,8.3033,Dorint Strandresort & Spa Westerland / Sylt
44,Torbay,CA,77.77,few clouds,47.6666,-52.7314,Gallows Cove
45,Lazaro Cardenas,MX,88.43,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
46,Vyatskiye Polyany,RU,64.27,overcast clouds,56.226,51.0656,Bereg
47,Butaritari,KI,81.82,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
48,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
50,Bambous Virieux,MU,68.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
51,Pingliang,CN,67.66,clear sky,35.5392,106.6861,North Gate Hostel
52,Fortuna,US,72.09,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
53,Makakilo City,US,82.15,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
54,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Arraial Do Cabo,BR,71.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
58,Conceicao Das Alagoas,BR,83.98,few clouds,-19.9147,-48.3883,Bouganville Hotel
59,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,Le four à pain
61,Waingapu,ID,71.71,few clouds,-9.6567,120.2641,Pondok Wisata Elim
63,Bonfim,BR,82.35,moderate rain,3.0833,-59.95,
64,Rio Cuarto,AR,67.77,clear sky,-33.1307,-64.3499,Hotel Menossi
65,Georgetown,MY,78.89,light rain,5.4112,100.3354,Cititel Penang
66,Mozarlandia,BR,87.3,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
67,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
69,Buritizeiro,BR,80.26,scattered clouds,-17.3511,-44.9622,Santos Palace Hotel
70,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
71,Anadyr,RU,63.1,clear sky,64.75,177.4833,Отке17.ру — жильё для командированных
72,Kapaa,US,84.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Atikokan,CA,79.57,light rain,48.7555,-91.6216,Quetico Inn (formerly Radisson)
78,Margate,GB,66.87,few clouds,51.3813,1.3862,Premier Inn Margate hotel
79,Sioux Lookout,CA,78.87,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
85,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
86,Craig,US,87.75,few clouds,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
90,Kavaratti,IN,78.03,light rain,10.5669,72.642,Green leaf
92,Kirakira,SB,81.0,overcast clouds,-10.4544,161.9205,SanBiz Lodge
95,Saint-Michel-Des-Saints,CA,65.93,clear sky,46.6834,-73.9159,Motel Du Mont trinity
98,Kavieng,PG,81.66,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
100,Ozinki,RU,69.26,clear sky,51.1786,49.6769,Korolevskiy Dvor
101,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
103,Muros,ES,71.69,clear sky,42.7762,-9.0603,Apartment Av. Castelao
105,Wote,KE,63.05,broken clouds,-1.7808,37.6288,SAVANAH HOTEL
106,Ilhabela,BR,67.64,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
109,Leshukonskoye,RU,60.24,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
111,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
114,Shubarkuduk,KZ,71.47,clear sky,49.1447,56.4872,Sirius
115,Amapa,BR,77.22,moderate rain,1.0,-52.0,
116,Port Hardy,CA,64.58,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
117,Port Alfred,ZA,65.88,broken clouds,-33.5906,26.891,The Halyards Hotel
120,Canchungo,GW,77.13,broken clouds,12.0672,-16.0333,Aparthotel Napalach
121,Libertador General San Martin,AR,79.97,clear sky,-23.8064,-64.7876,Posada del Sol
122,Charters Towers,AU,60.98,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
123,Jamestown,US,77.05,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
126,Nome,US,69.12,clear sky,64.5011,-165.4064,Dredge 7 Inn
127,Naze,JP,79.72,broken clouds,28.3667,129.4833,Shishime Hotel
128,Atuona,PF,77.11,clear sky,-9.8,-139.0333,Villa Enata
130,Xining,CN,63.36,broken clouds,36.6167,101.7667,Super Leisure Hotel
131,Yamada,JP,71.53,moderate rain,39.4667,141.95,Iroha-ya Inn
132,Pasighat,IN,77.52,overcast clouds,28.0667,95.3333,Siang Guest House
134,Hay River,CA,67.98,few clouds,60.8156,-115.7999,Ptarmigan Inn
135,Caravelas,BR,70.29,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
136,Vanderhoof,CA,64.78,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
137,Nikolskoye,RU,62.8,broken clouds,59.7035,30.7861,Tourist House - Sablino
139,Xinzhou,CN,70.81,scattered clouds,38.4092,112.7333,Shell Hotel - Xinzhou
141,Cayenne,GF,84.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
142,Kozmodemyansk,RU,61.07,overcast clouds,56.3367,46.5711,"Lada, Gostinitsa"
143,Ponta Delgada,PT,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
146,East London,ZA,65.53,overcast clouds,-33.0153,27.9116,Tu Casa
148,Imbituba,BR,64.09,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
150,Ugoofaaru,MV,81.07,overcast clouds,5.6667,73.0,Ungoofaaru Inn
156,Mantua,IT,79.84,clear sky,45.1667,10.7833,Hotel la Favorita
157,Houma,US,86.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
158,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
