City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tezu,IN,27.9167,96.1667,75.7,95,99,3.27,overcast clouds
1,Tasiilaq,GL,65.6145,-37.6368,48.36,60,13,4.23,few clouds
2,Cidreira,BR,-30.1811,-50.2056,60.44,88,28,9.33,scattered clouds
3,Thompson,CA,55.7435,-97.8558,57.36,94,100,6.91,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,72.14,77,83,21.72,light rain
5,Goderich,CA,43.7501,-81.7165,70.92,68,10,9.22,clear sky
6,Cap Malheureux,MU,-19.9842,57.6142,66.47,76,0,3.0,clear sky
7,Pangnirtung,CA,66.1451,-65.7125,48.2,81,75,11.5,broken clouds
8,Hobart,AU,-42.8794,147.3294,52.27,74,75,13.8,broken clouds
9,Agirish,RU,61.9247,63.0231,56.35,65,24,3.91,few clouds
10,Norman Wells,CA,65.282,-126.8329,75.24,43,75,11.5,broken clouds
11,Korla,CN,41.7597,86.1469,73.9,47,1,0.11,clear sky
12,Dicabisagan,PH,17.0818,122.4157,76.78,92,100,0.87,moderate rain
13,Faanui,PF,-16.4833,-151.75,78.48,65,40,24.54,scattered clouds
14,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,5.75,broken clouds
15,The Valley,AI,18.217,-63.0578,87.66,74,20,13.8,few clouds
16,Juneau,US,58.3019,-134.4197,57.22,98,100,3.44,heavy intensity rain
17,Hofn,IS,64.2539,-15.2082,50.7,68,41,12.12,scattered clouds
18,Pueblo,US,38.2545,-104.6091,102.15,21,0,13.8,clear sky
19,Kamenicky Senov,CZ,50.7736,14.4729,66.18,68,89,1.83,overcast clouds
20,Nanortalik,GL,60.1432,-45.2371,47.64,79,28,11.56,scattered clouds
21,Ribeira Grande,PT,38.5167,-28.7,75.58,81,19,13.38,few clouds
22,Chuy,UY,-33.6971,-53.4616,54.57,96,25,4.79,scattered clouds
23,Hilo,US,19.7297,-155.09,82.27,88,75,5.75,broken clouds
24,Deputatskiy,RU,69.3,139.9,45.32,78,97,3.67,overcast clouds
25,Pak Chong,TH,14.708,101.4161,78.82,92,100,3.4,overcast clouds
26,Hermanus,ZA,-34.4187,19.2345,48.79,78,14,1.59,few clouds
27,Souillac,MU,-20.5167,57.5167,68.38,77,40,5.75,scattered clouds
28,Saskylakh,RU,71.9167,114.0833,43.11,80,100,8.08,overcast clouds
29,Busselton,AU,-33.65,115.3333,55.62,53,96,29.24,overcast clouds
30,Culebra,PR,18.303,-65.301,87.89,96,1,13.0,clear sky
31,Albany,US,42.6001,-73.9662,88.57,47,24,5.01,few clouds
32,Namibe,AO,-15.1961,12.1522,59.61,69,3,3.56,clear sky
33,Nelson Bay,AU,-32.7167,152.15,51.01,93,54,4.0,broken clouds
34,Oussouye,SN,12.485,-16.5469,82.49,83,100,7.16,overcast clouds
