City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-08-02 19:53:31,-53.15,-70.9167,44.62,87,100,5.75
1,Thompson,CA,2022-08-02 19:56:41,55.7435,-97.8558,59.16,94,100,5.75
2,Khani,GE,2022-08-02 19:56:41,41.9563,42.9566,65.77,96,23,0.69
3,Waw,SS,2022-08-02 19:56:42,7.7029,27.9953,70.93,88,60,0.94
4,Touros,BR,2022-08-02 19:56:42,-5.1989,-35.4608,79.09,78,47,9.08
5,Charlottesville,US,2022-08-02 19:55:15,38.0293,-78.4767,94.33,52,15,1.99
6,Nikolskoye,RU,2022-08-02 19:53:27,59.7035,30.7861,62.8,92,47,4.0
7,Saskylakh,RU,2022-08-02 19:56:42,71.9167,114.0833,42.82,81,100,8.12
8,Port Elizabeth,ZA,2022-08-02 19:54:18,-33.918,25.5701,56.32,83,0,2.3
9,Barrow,US,2022-08-02 19:49:39,71.2906,-156.7887,45.39,58,74,13.71
10,Vaitape,PF,2022-08-02 19:56:43,-16.5167,-151.75,78.73,66,47,25.03
11,Puerto Ayora,EC,2022-08-02 19:55:39,-0.7393,-90.3518,80.56,80,60,10.0
12,Saint-Augustin,CA,2022-08-02 19:56:43,51.226,-58.6502,70.36,75,69,20.36
13,Ushuaia,AR,2022-08-02 19:53:24,-54.8,-68.3,38.86,81,75,11.5
14,High Rock,BS,2022-08-02 19:56:44,26.6208,-78.2833,86.02,65,5,6.62
15,Bluff,NZ,2022-08-02 19:53:09,-46.6,168.3333,44.8,73,54,33.31
16,Hirara,JP,2022-08-02 19:56:44,24.8,125.2833,84.16,74,4,13.24
17,Jalor,IN,2022-08-02 19:56:44,25.35,72.6167,84.15,72,99,7.0
18,Clyde River,CA,2022-08-02 19:56:45,70.4692,-68.5914,41.23,100,100,11.5
19,Vardo,NO,2022-08-02 19:56:45,70.3705,31.1107,57.18,88,0,0.0
20,Butaritari,KI,2022-08-02 19:55:40,3.0707,172.7902,81.48,77,100,17.34
21,Lasa,IT,2022-08-02 19:56:45,46.6166,10.7002,67.69,81,31,1.19
22,Vaini,TO,2022-08-02 19:56:46,-21.2,-175.2,75.36,94,40,9.22
23,Hilo,US,2022-08-02 19:51:22,19.7297,-155.09,81.28,93,100,5.75
24,Iskateley,RU,2022-08-02 19:56:46,67.6803,53.1512,61.41,66,100,8.57
25,Charters Towers,AU,2022-08-02 19:56:46,-20.1,146.2667,59.88,97,24,8.86
26,Cape Town,ZA,2022-08-02 19:55:35,-33.9258,18.4232,56.91,89,0,8.05
27,Cap Malheureux,MU,2022-08-02 19:56:47,-19.9842,57.6142,66.47,75,0,3.0
28,Ewa Beach,US,2022-08-02 19:53:39,21.3156,-158.0072,80.6,68,0,10.36
29,Tuatapere,NZ,2022-08-02 19:56:47,-46.1333,167.6833,47.86,80,71,12.82
30,Hofn,IS,2022-08-02 19:53:24,64.2539,-15.2082,51.04,67,46,12.41
31,Chokurdakh,RU,2022-08-02 19:55:41,70.6333,147.9167,53.11,68,100,5.55
32,Hovd,MN,2022-08-02 19:56:48,48.0056,91.6419,66.13,39,84,7.54
33,Sao Joaquim,BR,2022-08-02 19:56:48,-28.2939,-49.9317,60.53,78,15,1.5
34,Kodiak,US,2022-08-02 19:56:48,57.79,-152.4072,57.47,70,51,9.75
35,Hithadhoo,MV,2022-08-02 19:53:08,-0.6,73.0833,80.44,75,59,11.32
36,Aran,AZ,2022-08-02 19:56:49,40.6253,46.9756,83.75,58,0,10.36
37,Kovur,IN,2022-08-02 19:56:49,14.4833,79.9833,85.01,66,100,3.74
38,Sao Jose Da Coroa Grande,BR,2022-08-02 19:56:49,-8.8978,-35.1478,75.38,91,80,10.76
39,Vrises,GR,2022-08-02 19:56:50,35.492,23.8899,84.18,48,0,5.75
40,Busselton,AU,2022-08-02 19:55:36,-33.65,115.3333,55.06,52,97,27.74
41,Airai,TL,2022-08-02 19:53:25,-8.9266,125.4092,55.22,65,23,2.15
42,Caravelas,BR,2022-08-02 19:56:50,-17.7125,-39.2481,73.02,76,23,6.26
43,Muleba,TZ,2022-08-02 19:57:50,-1.8397,31.6544,66.61,78,52,0.92
44,Mehamn,NO,2022-08-02 19:55:38,71.0357,27.8492,53.51,100,100,6.91
45,Kavieng,PG,2022-08-02 19:56:51,-2.5744,150.7967,81.16,76,19,14.45
46,Dunedin,NZ,2022-08-02 19:56:18,-45.8742,170.5036,46.98,70,3,10.83
47,Dikson,RU,2022-08-02 19:53:34,73.5069,80.5464,42.85,86,78,5.19
48,Bathsheba,BB,2022-08-02 19:57:51,13.2167,-59.5167,88.41,82,20,23.02
49,Sakaiminato,JP,2022-08-02 19:57:51,35.55,133.2333,78.78,94,75,3.44
50,Lebu,CL,2022-08-02 19:54:19,-37.6167,-73.65,51.13,70,0,14.76
51,Arraial Do Cabo,BR,2022-08-02 19:57:52,-22.9661,-42.0278,75.16,83,0,9.22
52,Kichmengskiy Gorodok,RU,2022-08-02 19:57:52,59.9816,45.7854,60.37,84,100,3.56
53,Rikitea,PF,2022-08-02 19:49:31,-23.1203,-134.9692,72.01,78,98,21.63
54,Namibe,AO,2022-08-02 19:57:52,-15.1961,12.1522,59.86,67,4,3.18
55,Hasaki,JP,2022-08-02 19:55:36,35.7333,140.8333,81.28,92,72,8.86
56,Yellowknife,CA,2022-08-02 19:53:55,62.456,-114.3525,66.72,34,20,5.75
57,Cherskiy,RU,2022-08-02 19:57:53,68.75,161.3,49.77,97,100,4.52
58,Kenai,US,2022-08-02 19:55:50,60.5544,-151.2583,65.03,78,75,5.75
59,Saint-Pierre,RE,2022-08-02 19:57:53,-21.3393,55.4781,65.91,79,0,5.75
60,Myitkyina,MM,2022-08-02 19:57:54,25.3833,97.4,75.99,100,100,1.34
61,Port Keats,AU,2022-08-02 19:57:54,-14.25,129.55,70.23,82,15,2.17
62,Narrabri,AU,2022-08-02 19:57:54,-30.3167,149.7833,51.53,89,100,5.5
63,Beloha,MG,2022-08-02 19:57:55,-25.1667,45.05,62.19,68,0,10.69
